epoch,train_mse,val_force_mae
0,0.088258,0.088317
1,0.011239,0.083029
2,0.008535,0.078299
3,0.008023,0.075866
4,0.007874,0.074082
5,0.007770,0.075371
6,0.007512,0.118745
7,0.007722,0.082578
8,0.007496,0.087669
9,0.007771,0.077170
10,0.007180,0.076155
11,0.007420,0.076165
12,0.007121,0.090852
13,0.007621,0.128208
14,0.007618,0.078707
15,0.007052,0.090302
16,0.007411,0.079727
17,0.008155,0.100575
18,0.007690,0.075310
19,0.006831,0.079230
20,0.007316,0.096071
21,0.007247,0.095421
22,0.007674,0.103176
23,0.008305,0.086549
24,0.007173,0.095880
25,0.007609,0.083162
26,0.007154,0.089555
27,0.007179,0.086548
28,0.007190,0.091272
29,0.007027,0.086885
30,0.007209,0.120223
31,0.007888,0.112560
32,0.007226,0.085186
33,0.006817,0.087856
34,0.007021,0.079591
35,0.006890,0.084616
36,0.006818,0.100744
37,0.007068,0.111024
38,0.007040,0.097339
39,0.007520,0.087433
