epoch,train_latent_mse,val_latent_mse,val_force_mae
-1,nan,0.54160051,0.415000
0,0.41852834,0.30402140,0.240620
1,0.23825199,0.17091238,0.215271
2,0.14226920,0.11912163,0.176984
3,0.12331073,0.11327780,0.162968
4,0.11805538,0.10966790,0.157365
5,0.11436891,0.10660784,0.151712
6,0.11149300,0.10358060,0.146942
7,0.10820534,0.10042621,0.142263
8,0.10444580,0.09666948,0.140321
9,0.10009160,0.09271143,0.137188
10,0.09504714,0.08871663,0.134871
11,0.08945401,0.08160734,0.127948
12,0.08095451,0.07131738,0.124512
13,0.06866729,0.05709210,0.120605
14,0.05557174,0.04712174,0.113504
15,0.04841147,0.04329875,0.109270
16,0.04604692,0.04176598,0.102616
17,0.04474005,0.04060947,0.102303
18,0.04368664,0.04019977,0.104413
19,0.04266799,0.04009221,0.098652
20,0.04194321,0.04013418,0.098277
21,0.04144845,0.03976188,0.099470
22,0.04100363,0.03916228,0.097864
23,0.04056440,0.04129022,0.098689
24,0.04018696,0.03856751,0.100263
25,0.03957343,0.03922899,0.099814
26,0.03918971,0.03787923,0.097499
27,0.03899906,0.04026467,0.096159
28,0.03882252,0.03798995,0.096432
29,0.03819389,0.03855352,0.096316
30,0.03806493,0.03801477,0.098069
31,0.03754872,0.03837316,0.098444
32,0.03736384,0.03705512,0.095186
33,0.03717350,0.03679426,0.095433
34,0.03693803,0.03757207,0.095951
35,0.03651901,0.03719985,0.095337
36,0.03618940,0.03887266,0.096212
37,0.03607246,0.03731878,0.095333
38,0.03596948,0.03645904,0.095361
39,0.03561259,0.03768209,0.096506
